Indices,Accuracy
[6 2 2 3 2],0.822298305964821
[4 6 3 3 2],0.822294249367171
[4 1 4 1 4],0.82209709872136
[4 6 1 3 2],0.82209709872136
[6 1 5 6 6],0.8220954760823
[6 4 4 1 6],0.822093447783475
[6 5 4 1 2],0.82209060816512
[4 1 1 4 1],0.82189994807555
[4 1 4 6 4],0.821897108457195
[6 1 2 4 4],0.821896297137665
[5 1 2 1 4],0.821895485818135
[4 1 3 6 4],0.82189426883884
[6 6 3 2 1],0.821893457519309
[6 5 3 1 3],0.821893457519309
[6 4 3 4 3],0.821891834880249
[4 6 1 4 1],0.821890617900954
[6 6 2 3 3],0.821697523852794
[1 1 2 6 1],0.821695089894204
[6 5 6 1 3],0.821694684234439
[6 1 4 5 1],0.821692655935614
[6 4 6 4 6],0.821690221977023
[5 1 2 6 5],0.821498344908159
[6 1 5 3 5],0.821493476990978
[6 3 2 1 3],0.821493071331213
[6 6 4 6 6],0.821491854351918
[6 5 3 6 6],0.821489420393328
[4 5 2 1 1],0.821487797754268
[6 5 1 3 5],0.821298354643993
[6 1 5 3 4],0.821290647108457
[6 4 1 3 1],0.821289835788927
[4 6 6 4 1],0.821288213149867
[5 1 2 1 1],0.821091873823587
[4 1 1 3 3],0.821089034205231
[6 6 2 1 3],0.821089034205231
[5 1 1 6 1],0.821087817225936
[6 6 2 6 6],0.8208886382813
[4 6 6 4 6],0.820887015642241
[6 5 1 6 2],0.820691893295255
[4 6 6 3 4],0.82068824235737
[6 5 3 6 2],0.820687025378075
[4 1 3 1 5],0.820490686051794
[6 1 5 6 5],0.820490280392029
[4 6 3 3 6],0.820486629454144
[6 4 1 3 4],0.820284610891153
[6 6 5 1 2],0.820284205231388
[4 1 4 3 4],0.820088271564873
[6 3 6 6 5],0.820087865905108
[6 1 4 6 3],0.820087460245343
[6 6 3 4 6],0.820083809307458
[6 5 6 1 4],0.820081781008632
[4 6 6 6 5],0.819888281300707
[6 3 6 1 5],0.819887875640942
[3 1 3 6 5],0.819887064321412
[4 6 6 3 2],0.819880573765171
[4 5 4 3 1],0.819879762445641
[6 4 6 4 2],0.819684640098656
