Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.6374339259971168,11.810632991790772,0.03477456569671631,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.968761539459228,0.03487982749938965,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,14.57279031276703,0.04084217548370361,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,14.229300117492675,0.03799042701721191,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.853712582588196,0.03464267253875732,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.815477752685547,0.034616637229919436,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.820762586593627,0.034634971618652345,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.87538411617279,0.034632539749145506,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.868226885795593,0.0348261833190918,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,11.847362518310547,0.03544130325317383,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
